element_alias,count,suggested_canonical_action
success_message,225,tap
settings_button,204,tap
otp_field,131,tap
bluetooth_status_label,113,tap
back_button,71,assert_visible
wifi_status_label,64,tap
save_button,40,tap
confirm_button,27,assert_visible
password_field,22,tap
error_message,22,tap
notification_permission_dialog,21,tap
cancel_button,16,tap
permission_allow_button,12,tap
login_button,12,tap
home_title,11,tap
agree_button,8,tap
scan_button,7,tap
email_field,6,tap
next_button,3,tap
permission_deny_button,2,tap
submit_button,1,tap
